run_id,family,target,paper_section,teff_16,teff_50,teff_84,logg_16,logg_50,logg_84,logL_16,logL_50,logL_84,phi_16,phi_50,phi_84,cold_teff_50,cold_logg_50,cold_logL_50,cold_phi_50
UNCOVER_2c_freeav_n2k_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_freeav_n2k_ujy,Section 2.3,4076.31,4082.7,4089.72,-3.30228,-3.22332,-3.16915,10.142,10.1465,10.1512,263.953,298.755,358.403,2007.19,-0.523174,8.83274,0.0349238
UNCOVER_2c_freeav_n2k_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_freeav_n2k_ujy_photcal,Section 2.3,4000.09,4008.52,4015.02,-3.4345,-3.32884,-3.20944,10.2254,10.2321,10.2385,268.699,353.416,451.268,2021.89,-0.30256,8.96144,0.0218726
UNCOVER_2c_freeav_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_freeav_ujy,Section 2.3,4079.29,4085.06,4091.61,-3.43443,-3.32772,-3.22996,10.1367,10.1413,10.1467,303.596,381.319,487.638,2006.56,-0.213538,8.91197,0.017102
UNCOVER_2c_freeav_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_freeav_ujy_photcal,Section 2.3,3971.61,3993.87,4001.87,-3.37023,-3.29517,-3.19512,10.2388,10.2476,10.2527,255.514,321.122,381.94,2701.42,-0.0866114,6.42353,0.0352243
UNCOVER_2c_h2omask_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_h2omask_ujy,Section 2.3,4037.74,4043.49,4048.26,-3.23123,-3.18256,-3.15429,10.1839,10.1909,10.1971,245.282,261.71,292.361,3316.58,-3.18044,7.22031,113.703
UNCOVER_2c_h2omask_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_h2omask_ujy_photcal,Section 2.3,3909.85,3939.28,3987.33,-3.31968,-3.22536,-3.14357,10.273,10.2805,10.2913,215.584,259.171,329.204,3026.86,-2.44787,6.54743,16.0693
UNCOVER_2c_hotfloor_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_hotfloor_ujy,Section 2.3,4076.46,4082.66,4088.98,-3.43643,-3.33418,-3.22276,10.1325,10.1367,10.1412,298.712,385.906,487.957,2007.43,-0.30083,8.94276,0.0209618
UNCOVER_2c_hotfloor_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_hotfloor_ujy_photcal,Section 2.3,3991.78,4005.15,4012.09,-3.41319,-3.2855,-3.18956,10.2347,10.2408,10.2468,254.694,319.115,428.119,2016.59,-0.965566,8.81438,0.102244
UNCOVER_2c_neb_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_neb_ujy,Section 2.3,4078.15,4083.32,4089.03,-3.2686,-3.20707,-3.16395,10.1344,10.1381,10.1419,260.895,287.933,331.606,2008.35,-0.492501,8.91089,0.0327476
UNCOVER_2c_neb_ujy_long,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_neb_ujy_long,Section 2.3,4077.03,4082.3,4087.55,-3.31556,-3.22742,-3.17082,10.1372,10.1409,10.1449,264.476,301.563,370.034,2005.79,-0.610866,8.87217,0.042662
